Vforce,Charge
-489.6812E-6,000.0000E+0
979.8224E-6,12.6462E-15
521.1931E-6,51.3367E-15
1.6951E-3,77.0070E-15
1.8412E-3,37.5469E-15
1.1175E-3,9.0557E-15
1.5422E-3,-6.4120E-15
2.2778E-3,26.1157E-15
1.0971E-3,60.0066E-15
393.7146E-6,27.4013E-15
-197.4741E-6,-16.8632E-15
-892.4312E-6,-16.5560E-15
-1.7978E-3,10.4769E-15
1.1208E-3,43.6896E-15
-194.0869E-6,66.6138E-15
1.8548E-3,20.3020E-15
-192.3937E-6,-24.6465E-15
2.4172E-3,-46.9674E-15
684.2290E-6,18.4669E-15
2.4121E-3,33.1662E-15
689.3075E-6,25.9298E-15
-41.2117E-6,12.5204E-15
-1.6331E-3,-6.3747E-15
-482.9086E-6,-2.6470E-15
-469.3598E-6,25.7661E-15
699.4710E-6,-10.2618E-15
-1.6246E-3,-31.8966E-15
-2.4894E-3,-4.8541E-15
257.7717E-6,-5.9197E-15
-39.5144E-6,-15.9006E-15
4.8891E-3,-51.2424E-15
-1.0385E-3,-34.4816E-15
553.3665E-6,41.2408E-15
976.4366E-6,18.2353E-15
838.8011E-6,-25.3357E-15
-323.2557E-6,-51.7691E-15
973.0489E-6,-25.4132E-15
-1.4870E-3,26.9933E-15
2.8741E-3,54.0422E-15
826.9453E-6,-36.1525E-15
-2.3653E-3,-78.3608E-15
-1.0605E-3,-54.7510E-15
543.2039E-6,-5.0842E-15
1.5642E-3,6.8785E-15
-916.1376E-6,-1.0487E-15
-1.2016E-3,-22.0011E-15
98.1212E-6,-38.1544E-15
1.2754E-3,-20.0214E-15
-618.8515E-6,37.1848E-15
-476.1333E-6,-64.6659E-15
-2.2158E-3,-31.4580E-15
-620.5442E-6,62.7695E-15
-1.1982E-3,-43.8804E-15
383.5548E-6,29.7773E-15
556.7528E-6,25.9725E-15
986.5973E-6,-91.6409E-15
-465.9739E-6,103.3712E-15
1.4114E-3,35.1174E-15
-1.4887E-3,-54.3932E-15
696.0829E-6,49.4377E-15
101.5065E-6,-11.2777E-15
536.4318E-6,-691.4661E-18
2.4426E-3,89.4320E-15
1.2703E-3,-94.6851E-15
-338.4978E-6,-47.7653E-15
390.3283E-6,92.3965E-15
-464.2789E-6,33.7415E-15
1.1175E-3,71.0668E-15
-761.5669E-6,-34.8964E-15
-770.0335E-6,-117.5523E-15
-1.8982E-3,84.3194E-15
828.6399E-6,46.2299E-15
1.4046E-3,29.3931E-15
-1.0470E-3,2.2736E-15
534.7373E-6,-96.8347E-15
1.1158E-3,2.1929E-15
3.0151E-3,99.1706E-15
-758.1815E-6,25.4311E-15
-316.4822E-6,-1.0001E-15
-1.1948E-3,-77.4830E-15
820.1737E-6,-56.6146E-15
-1.0673E-3,67.7745E-15
1.9890E-3,57.1102E-15
-1.4853E-3,-2.9192E-15
-1.0521E-3,-46.4944E-15
-1.7775E-3,-109.9527E-15
-1.3409E-3,8.2708E-15
-2.6372E-3,62.7357E-15
1.2585E-3,-8.9486E-15
-776.8089E-6,-52.5280E-15
3.4145E-3,-55.6567E-15
-1.6348E-3,-51.2424E-15
-173.7659E-6,67.6704E-15
1.2670E-3,54.9493E-15
1.5693E-3,3.8395E-15
237.4507E-6,-69.9047E-15
98.1212E-6,-84.0013E-15
-2.8036E-3,-10.3468E-15
-471.0543E-6,59.2011E-15
682.5363E-6,18.3688E-15
4.0040E-3,26.8988E-15
19.7430E-3,178.7161E-15
32.8725E-3,454.6212E-15
52.1096E-3,747.6755E-15
63.2055E-3,968.7356E-15
79.2435E-3,1.1528E-12
101.1871E-3,1.3540E-12
110.8626E-3,1.5860E-12
126.3111E-3,1.8304E-12
139.0277E-3,2.0610E-12
157.5071E-3,2.2917E-12
169.7888E-3,2.4723E-12
185.5058E-3,2.6913E-12
200.9645E-3,2.9439E-12
213.8153E-3,3.2253E-12
231.0137E-3,3.4408E-12
246.0205E-3,3.6784E-12
262.1928E-3,3.8919E-12
278.2444E-3,4.1472E-12
290.6484E-3,4.3607E-12
307.7041E-3,4.6044E-12
322.4204E-3,4.8982E-12
337.3065E-3,5.1912E-12
351.3042E-3,5.3931E-12
365.8964E-3,5.6909E-12
382.0619E-3,5.9565E-12
396.6575E-3,6.2681E-12
415.4359E-3,6.6057E-12
430.1472E-3,6.9180E-12
442.6923E-3,7.1705E-12
458.7523E-3,7.4725E-12
475.7927E-3,7.8259E-12
489.8056E-3,8.2252E-12
505.2710E-3,8.6170E-12
521.1545E-3,8.8888E-12
534.1311E-3,9.2099E-12
547.5461E-3,9.6442E-12
565.4766E-3,10.0860E-12
578.7590E-3,10.5423E-12
594.9313E-3,10.9635E-12
608.2068E-3,11.3642E-12
624.5083E-3,11.8129E-12
640.7043E-3,12.3568E-12
655.1419E-3,12.8624E-12
670.5938E-3,13.4084E-12
686.1952E-3,13.9908E-12
699.9024E-3,14.5115E-12
716.6675E-3,15.0678E-12
729.0750E-3,15.7132E-12
751.3362E-3,16.3498E-12
761.8747E-3,17.0274E-12
778.7843E-3,17.7126E-12
792.0361E-3,18.3862E-12
809.5335E-3,19.1701E-12
823.6671E-3,19.9472E-12
841.0200E-3,20.7373E-12
852.5441E-3,21.4945E-12
869.3041E-3,22.2667E-12
882.5916E-3,23.1309E-12
898.0469E-3,24.0060E-12
910.8808E-3,24.8605E-12
928.0741E-3,25.7069E-12
944.8376E-3,26.6060E-12
959.5641E-3,27.4900E-12
972.1159E-3,28.4522E-12
992.2008E-3,29.4267E-12
1.0023E+0,30.4081E-12
1.0174E+0,31.3545E-12
1.0329E+0,32.3859E-12
1.0472E+0,33.4420E-12
1.0632E+0,34.5481E-12
1.0782E+0,35.7071E-12
1.0930E+0,36.8420E-12
1.1100E+0,37.9516E-12
1.1240E+0,39.1092E-12
1.1415E+0,40.3243E-12
1.1509E+0,41.5978E-12
1.1718E+0,42.8767E-12
1.1851E+0,44.1467E-12
1.2020E+0,45.3831E-12
1.2153E+0,46.6709E-12
1.2289E+0,48.0109E-12
1.2461E+0,49.3488E-12
1.2606E+0,50.6455E-12
1.2768E+0,51.9560E-12
1.2868E+0,53.3117E-12
1.3073E+0,54.6927E-12
1.3217E+0,56.0217E-12
1.3362E+0,57.3308E-12
1.3527E+0,58.6536E-12
1.3661E+0,59.9846E-12
1.3802E+0,61.2594E-12
1.3957E+0,62.5507E-12
1.4127E+0,63.8735E-12
1.4257E+0,65.1586E-12
1.4406E+0,66.4340E-12
1.4560E+0,67.7897E-12
1.4747E+0,69.0988E-12
1.4874E+0,70.3825E-12
1.5047E+0,71.5943E-12
1.5157E+0,72.7985E-12
1.5337E+0,74.1034E-12
1.5487E+0,75.3940E-12
1.5665E+0,76.6078E-12
1.5778E+0,77.7098E-12
1.5951E+0,79.0285E-12
1.6098E+0,80.2265E-12
1.6283E+0,81.6254E-12
1.6462E+0,82.7542E-12
1.6539E+0,83.9077E-12
1.6727E+0,85.0049E-12
1.6874E+0,86.2694E-12
1.7014E+0,87.4949E-12
1.7154E+0,88.7779E-12
1.7298E+0,89.9046E-12
1.7475E+0,91.0286E-12
1.7616E+0,92.1930E-12
1.7801E+0,93.4925E-12
1.7943E+0,94.6460E-12
1.8101E+0,95.6966E-12
1.8227E+0,96.8028E-12
1.8393E+0,97.9151E-12
1.8530E+0,99.0384E-12
1.8680E+0,100.1391E-12
1.8867E+0,101.2562E-12
1.8994E+0,102.3514E-12
1.9144E+0,103.4863E-12
1.9298E+0,104.4828E-12
1.9397E+0,105.5005E-12
1.9587E+0,106.4935E-12
1.9755E+0,107.5743E-12
1.9885E+0,108.6345E-12
2.0067E+0,109.5871E-12
2.0208E+0,110.5301E-12
2.0342E+0,111.4710E-12
2.0520E+0,112.4901E-12
2.0659E+0,113.4063E-12
2.0837E+0,114.2554E-12
2.0959E+0,115.1120E-12
2.1127E+0,115.9837E-12
2.1265E+0,116.9040E-12
2.1424E+0,117.8374E-12
2.1575E+0,118.6563E-12
2.1739E+0,119.4183E-12
2.1813E+0,120.2756E-12
2.2023E+0,121.1486E-12
2.2158E+0,122.0251E-12
2.2336E+0,122.7556E-12
2.2459E+0,123.5114E-12
2.2634E+0,124.3145E-12
2.2767E+0,125.1567E-12
2.2939E+0,125.9379E-12
2.3083E+0,126.6430E-12
2.3258E+0,127.3213E-12
2.3407E+0,128.0216E-12
2.3544E+0,128.8254E-12
2.3694E+0,129.5997E-12
2.3865E+0,130.2795E-12
2.4005E+0,130.9016E-12
2.4151E+0,131.5827E-12
2.4308E+0,132.3515E-12
2.4450E+0,133.0806E-12
2.4584E+0,133.7747E-12
2.4750E+0,134.4448E-12
2.4936E+0,135.1965E-12
2.5075E+0,135.8934E-12
2.5224E+0,136.5080E-12
2.5374E+0,137.2316E-12
2.5530E+0,137.8290E-12
2.5670E+0,138.4518E-12
2.5817E+0,139.2481E-12
2.5985E+0,139.7695E-12
2.6126E+0,140.4574E-12
2.6278E+0,141.1899E-12
2.6447E+0,141.6695E-12
2.6574E+0,142.3848E-12
2.6742E+0,142.9363E-12
2.6903E+0,143.6085E-12
2.7048E+0,144.1539E-12
2.7199E+0,144.6958E-12
2.7342E+0,145.2295E-12
2.7495E+0,146.0031E-12
2.7634E+0,146.4470E-12
2.7800E+0,147.0287E-12
2.7972E+0,147.5768E-12
2.8102E+0,148.0076E-12
2.8252E+0,148.6832E-12
2.8407E+0,149.2786E-12
2.8545E+0,149.7156E-12
2.8713E+0,150.3069E-12
2.8857E+0,150.7803E-12
2.9001E+0,151.2584E-12
2.9136E+0,151.8429E-12
2.9334E+0,152.2888E-12
2.9451E+0,152.8053E-12
2.9657E+0,153.2835E-12
2.9787E+0,153.7322E-12
2.9936E+0,154.1767E-12
3.0086E+0,154.6426E-12
3.0226E+0,155.0926E-12
3.0298E+0,155.4727E-12
3.0157E+0,155.3606E-12
3.0007E+0,155.2128E-12
2.9820E+0,155.0829E-12
2.9686E+0,154.9262E-12
2.9526E+0,154.7736E-12
2.9396E+0,154.6326E-12
2.9228E+0,154.4506E-12
2.9126E+0,154.2891E-12
2.8964E+0,154.1235E-12
2.8785E+0,153.9359E-12
2.8648E+0,153.7525E-12
2.8509E+0,153.5403E-12
2.8355E+0,153.3637E-12
2.8183E+0,153.1755E-12
2.8012E+0,152.9954E-12
2.7842E+0,152.7969E-12
2.7735E+0,152.5765E-12
2.7586E+0,152.3910E-12
2.7417E+0,152.2027E-12
2.7293E+0,152.0097E-12
2.7123E+0,151.7975E-12
2.6978E+0,151.5798E-12
2.6853E+0,151.3621E-12
2.6659E+0,151.2198E-12
2.6536E+0,150.9863E-12
2.6354E+0,150.7446E-12
2.6222E+0,150.5104E-12
2.6061E+0,150.3324E-12
2.5920E+0,150.2162E-12
2.5767E+0,149.9827E-12
2.5615E+0,149.7040E-12
2.5452E+0,149.5343E-12
2.5312E+0,149.3035E-12
2.5115E+0,149.1331E-12
2.4997E+0,148.9483E-12
2.4844E+0,148.6702E-12
2.4691E+0,148.4656E-12
2.4532E+0,148.2677E-12
2.4362E+0,148.0562E-12
2.4221E+0,147.8494E-12
2.4093E+0,147.6105E-12
2.3917E+0,147.3831E-12
2.3800E+0,147.1901E-12
2.3653E+0,146.9943E-12
2.3484E+0,146.7842E-12
2.3346E+0,146.5411E-12
2.3160E+0,146.3001E-12
2.3027E+0,146.0865E-12
2.2849E+0,145.8914E-12
2.2710E+0,145.6723E-12
2.2583E+0,145.4182E-12
2.2431E+0,145.2334E-12
2.2258E+0,145.0054E-12
2.2126E+0,144.7767E-12
2.1973E+0,144.5597E-12
2.1830E+0,144.3475E-12
2.1689E+0,144.1126E-12
2.1502E+0,143.9134E-12
2.1396E+0,143.6882E-12
2.1230E+0,143.4547E-12
2.1098E+0,143.2343E-12
2.0919E+0,143.0282E-12
2.0737E+0,142.8256E-12
2.0598E+0,142.5256E-12
2.0464E+0,142.2805E-12
2.0312E+0,142.0956E-12
2.0146E+0,141.9136E-12
2.0012E+0,141.6767E-12
1.9863E+0,141.3863E-12
1.9701E+0,141.1528E-12
1.9561E+0,140.9790E-12
1.9384E+0,140.7668E-12
1.9241E+0,140.5538E-12
1.9108E+0,140.2696E-12
1.8946E+0,140.0430E-12
1.8785E+0,139.8376E-12
1.8633E+0,139.6350E-12
1.8488E+0,139.3741E-12
1.8330E+0,139.0871E-12
1.8162E+0,138.8735E-12
1.8031E+0,138.6682E-12
1.7905E+0,138.4669E-12
1.7744E+0,138.1944E-12
1.7559E+0,137.9026E-12
1.7417E+0,137.6787E-12
1.7310E+0,137.4905E-12
1.7137E+0,137.2378E-12
1.6965E+0,136.9996E-12
1.6792E+0,136.6955E-12
1.6671E+0,136.4695E-12
1.6535E+0,136.2648E-12
1.6366E+0,135.9991E-12
1.6207E+0,135.7259E-12
1.6076E+0,135.5459E-12
1.5914E+0,135.3207E-12
1.5765E+0,135.0296E-12
1.5599E+0,134.7529E-12
1.5442E+0,134.5311E-12
1.5300E+0,134.2579E-12
1.5138E+0,134.0792E-12
1.4985E+0,133.7799E-12
1.4832E+0,133.5129E-12
1.4683E+0,133.2321E-12
1.4540E+0,133.0740E-12
1.4399E+0,132.8268E-12
1.4224E+0,132.5618E-12
1.4100E+0,132.2810E-12
1.3937E+0,131.9872E-12
1.3798E+0,131.7537E-12
1.3663E+0,131.5717E-12
1.3457E+0,131.2916E-12
1.3306E+0,130.9930E-12
1.3186E+0,130.7136E-12
1.3038E+0,130.5253E-12
1.2875E+0,130.2713E-12
1.2742E+0,129.9850E-12
1.2584E+0,129.6645E-12
1.2429E+0,129.4008E-12
1.2278E+0,129.1687E-12
1.2108E+0,128.9394E-12
1.1967E+0,128.6606E-12
1.1781E+0,128.3695E-12
1.1654E+0,128.0284E-12
1.1511E+0,127.7956E-12
1.1349E+0,127.6026E-12
1.1223E+0,127.3040E-12
1.1063E+0,126.9540E-12
1.0874E+0,126.6739E-12
1.0750E+0,126.4027E-12
1.0598E+0,126.1610E-12
1.0448E+0,125.8774E-12
1.0266E+0,125.5829E-12
1.0134E+0,125.2603E-12
1.0008E+0,125.0090E-12
985.2894E-3,124.7077E-12
966.7913E-3,124.4344E-12
953.6585E-3,124.1413E-12
937.4879E-3,123.8070E-12
924.9191E-3,123.4899E-12
908.0147E-3,123.2002E-12
894.3092E-3,122.9105E-12
882.6086E-3,122.6016E-12
862.6680E-3,122.2660E-12
848.3765E-3,121.9653E-12
831.9019E-3,121.6791E-12
817.7564E-3,121.3475E-12
801.1441E-3,121.0249E-12
787.7310E-3,120.7044E-12
770.3712E-3,120.3729E-12
757.2638E-3,120.0612E-12
743.6756E-3,119.7475E-12
725.0483E-3,119.4105E-12
711.6250E-3,119.1016E-12
697.9111E-3,118.7605E-12
680.9931E-3,118.3789E-12
668.3120E-3,118.0371E-12
652.2757E-3,117.6898E-12
638.8455E-3,117.3398E-12
621.9428E-3,116.9788E-12
606.2190E-3,116.6151E-12
590.6007E-3,116.2294E-12
573.9968E-3,115.8698E-12
560.8606E-3,115.4560E-12
543.9645E-3,115.0888E-12
525.4749E-3,114.7408E-12
513.1950E-3,114.2907E-12
499.7784E-3,113.9174E-12
483.7455E-3,113.5132E-12
470.1641E-3,113.0966E-12
454.8820E-3,112.6753E-12
436.6660E-3,112.2019E-12
424.2518E-3,111.8286E-12
407.9249E-3,111.4031E-12
391.4638E-3,110.9139E-12
378.4787E-3,110.4521E-12
360.8353E-3,109.9725E-12
347.4170E-3,109.5155E-12
330.9558E-3,109.0346E-12
317.8213E-3,108.5172E-12
301.6473E-3,107.9588E-12
286.6235E-3,107.4264E-12
268.8543E-3,106.8830E-12
254.5492E-3,106.3095E-12
239.8414E-3,105.7648E-12
229.8855E-3,105.1186E-12
210.7996E-3,104.4271E-12
193.6114E-3,103.7363E-12
183.2274E-3,102.9420E-12
164.2860E-3,102.2712E-12
150.8761E-3,101.6428E-12
132.9658E-3,100.6229E-12
119.9604E-3,99.8944E-12
105.6790E-3,98.9946E-12
90.0776E-3,97.9788E-12
74.9196E-3,97.1359E-12
58.8935E-3,96.0543E-12
43.1273E-3,94.9453E-12
29.5815E-3,93.9790E-12
12.5242E-3,92.6602E-12
-1.0402E-3,91.5279E-12
-12.0053E-3,90.4244E-12
-30.4830E-3,89.0426E-12
-46.3919E-3,87.8075E-12
-61.8353E-3,86.4517E-12
-78.3066E-3,85.0143E-12
-91.5889E-3,83.7901E-12
-106.3035E-3,82.3356E-12
